family,level,days_per_week,conservatism,phase_name,long_run_ramp_rule,duration_ramp_rule,cutback_frequency,cutback_reduction_rule,intensity_delay_rule,specific_touch_frequency,max_weekly_load_increase,extension_trigger,notes
10k_foundation,new_to_running,2-3,high,adaptation,"hold long run flat for first 2-3 exposures before any increase","grow support duration in small steps only after repeatable recovery","every_3rd_or_4th_week","reduce total running load by 20-30 percent","no specific touch until adaptation is clearly stable","none_to_every_3_weeks","5_to_8_percent_or_less","recovery instability; missed support weeks; elevated load context","variety comes from structure and checkpointing before sharper work"
10k_foundation,beginner,2-3,moderate,progression_rhythm,"increase long run in small steps and never every week forever","add support duration before adding specificity density","every_3rd_or_4th_week","reduce total running load by 20-25 percent","progression or strides must appear before interval-like work","every_2_to_3_weeks","6_to_10_percent","support-only collapse risk; weak recovery; elevated load context","low-frequency 10K must still mature toward a real 10K endpoint"
10k_foundation,beginner,4-5,baseline,progression_rhythm,"increase long run modestly, then hold or cut back before next rise","grow one support day or one specific session, never both aggressively together","every_4th_week","reduce long run and one support day by 20-25 percent","specificity starts only after base and aerobic development are stable","weekly_max_one_touch","8_to_12_percent","high fatigue signals; benchmark absence does not block plan but blocks pace truth","richer week structure must not become interval-heavy"
10k_foundation,running_regularly,3-5,baseline,progression_rhythm,"long run can rise in modest steps with occasional plateaus","support duration and specific touch rotate rather than stack","every_4th_week","reduce total load by 15-25 percent","10K rhythm work waits until progression or strides are already tolerated","weekly_max_one_touch","8_to_12_percent","support-only identity histogram; no explicit completion outcome","development motif must repeat before endpoint week"
10k_foundation,performance_focused,3-5,baseline,progression_rhythm,"reuse running_regularly long-run ramp with no extra sharpening pressure","support and specific load rotate rather than stack because preset stays base-only","every_4th_week","reduce total load by 15-25 percent","no advanced sharpening and no second quality day","weekly_max_one_touch","8_to_12_percent","preset starts to resemble a real performance block","performance-focused preset remains conservative"
half_marathon_balanced,beginner,3,moderate,progression_tempo,"long run grows gradually and may plateau before specificity weeks","steady support grows before threshold-like work appears","every_3rd_week","reduce long run and support volume by 20-30 percent","controlled tempo waits until stable base and long-run tolerance exist","every_2_to_3_weeks","6_to_10_percent","weak long-run tolerance; elevated load context; unstable recovery","half specificity must arrive without becoming interval-heavy"
half_marathon_balanced,beginner,4-5,baseline,threshold_durability,"long run grows with small finish-specific additions only after stable base","grow support load first, then specific block duration","every_4th_week","reduce total load by 20-25 percent","threshold durability waits until controlled tempo is tolerated","weekly_max_one_touch","8_to_12_percent","specificity overload risk; no benchmark blocks pace but not plan","long-run steady finish may replace midweek bigger touch"
half_marathon_balanced,running_regularly,2-3,moderate,half_specificity,"long run grows cautiously because frequency is limited","specific workload alternates with support weeks rather than repeating weekly","every_3rd_week","reduce total load by 20-25 percent","threshold-lite work waits until long-run rhythm is stable","every_2_to_3_weeks","6_to_10_percent","support-only collapse; missing readiness marker","alternating development weeks are acceptable and often preferred"
half_marathon_balanced,running_regularly,4-5,baseline,threshold_durability,"long run grows with occasional steady-finish insertion","specific duration can grow one lever at a time: reps or minutes, not both","every_4th_week","reduce total load by 15-25 percent","threshold durability starts after controlled tempo support","weekly_max_one_touch","8_to_12_percent","midweek specificity plus long-run specificity overload","balanced half must look half-specific by late build"
half_marathon_balanced,performance_focused,3-5,baseline,threshold_durability,"reuse running_regularly long-run ramp with conservative specificity ceiling","specific duration grows one lever at a time because preset stays base-only","every_4th_week","reduce total load by 15-25 percent","no advanced half sharpening and no second quality day","weekly_max_one_touch","8_to_12_percent","preset starts to resemble an aggressive half plan","performance-focused preset remains conservative"
marathon_base,beginner,3,high,marathon_specificity,"long run grows in small steps with frequent plateaus and conservative peaks","support duration rises before any specificity is expanded","every_3rd_week","reduce long run by 20-30 percent and lighten support days","marathon steady specificity waits until durable long-run routine exists","every_2_to_3_weeks","5_to_8_percent","recovery instability; high load context; long-run spillover fatigue","day-after-long-run next running slot remains easy or recovery only"
marathon_base,beginner,4-5,moderate,marathon_specificity,"long run grows steadily but with capped jumps and protected cutbacks","grow one support day or one specific duration block, never both aggressively","every_4th_week","reduce total load by 20-25 percent","long-run steady finish waits until marathon steady specificity is tolerated","weekly_max_one_touch","6_to_10_percent","specificity too close to long run; weak recovery pattern","marathon base must stay honest as base, not race peak"
marathon_base,running_regularly,3-5,baseline,marathon_specificity,"long run grows with plateaus before adding steady finishes","specific duration grows slower than total aerobic volume","every_4th_week","reduce total load by 15-25 percent","controlled tempo stays optional and secondary to marathon steady work","weekly_max_one_touch","6_to_10_percent","marathon implied race readiness; missing base endpoint","long-run specificity counts as the week's main specific touch when used"
marathon_base,performance_focused,4-5,baseline,marathon_specificity,"long run can progress more cleanly but still under one-quality ceiling","grow support and specific load conservatively because preset stays base-only","every_4th_week","reduce total load by 15-20 percent","no second quality day and no race-pace progression","weekly_max_one_touch","8_to_10_percent","preset starts to resemble advanced marathon block","performance-focused preset still stays conservative"
