family,days_per_week,gate_id,gate_description,required,check_type,minimum_count,phase_scope,failure_action,notes
10k_foundation,2-5,tenk_no_support_only_review_ready,"review-ready 10K plan must include at least one non-support development or explicit 10K endpoint identity",yes,identity_presence,1,full_plan,"fail_review_ready_and_route_back_to_builder","prevents long-run plus recovery-only 10K outputs"
10k_foundation,2-5,tenk_final_outcome_visible,"10K plan must surface explicit 10K completion, checkpoint, or test outcome in generated rows or review-visible metadata",yes,final_outcome_presence,1,final_phase,"fail_review_ready_and_route_back_to_builder","metadata alone is not enough if output rows stay generic"
10k_foundation,2,tenk_lowfreq_development_motif,"2-day 10K must show a recurring development motif across the horizon",yes,identity_histogram,2,build_to_completion,"fail_review_ready_and_extend_or_recompose","acceptable motifs include progression, strides, tempo-lite, or checkpoint weeks"
10k_foundation,3-5,tenk_specificity_visibility,"3-5 day 10K must show clear 10K-oriented development before the endpoint week",yes,phase_identity_presence,1,late_build_or_specific,"fail_review_ready_and_recompose","support-only calendars are not acceptable under a 10K label"
half_marathon_balanced,2-5,half_readiness_marker,"half plan must include a visible half-readiness marker",yes,final_outcome_presence,1,final_phase,"fail_review_ready_and_route_back_to_builder","marker may be threshold durability, readiness week, or long-run specificity endpoint"
half_marathon_balanced,3-5,half_specific_identity_presence,"stronger half variants must include at least one half-specific identity beyond easy/steady/long support",yes,identity_presence,1,late_build_to_final,"fail_review_ready_and_recompose","controlled tempo, threshold durability, or steady-finish long run qualify"
half_marathon_balanced,4-5,half_threshold_or_equivalent,"4-5 day half plans must include threshold durability or an equivalent half-specific marker",yes,phase_identity_presence,1,specific_phase,"fail_review_ready_and_recompose","prevents balanced half from reading like generic support mileage"
marathon_base,3-5,marathon_base_endpoint,"marathon plan must end with a visible base endpoint and must not imply race peak readiness",yes,final_outcome_presence,1,final_phase,"fail_review_ready_and_route_back_to_builder","endpoint copy must stay honest as base"
marathon_base,3-5,marathon_specific_identity_presence,"marathon plan must include marathon_steady_specificity or long-run specificity",yes,identity_presence,1,build_to_final,"fail_review_ready_and_recompose","generic support-only marathon is not acceptable"
marathon_base,3,marathon_three_day_recovery_protection,"3-day marathon must preserve easy or recovery after the long run and avoid compression",yes,spacing_rule,1,full_plan,"fail_review_ready_and_recompose","protects low-frequency durability logic"
all_supported_families,2-5,no_two_quality_week,"shipped presets must not contain two specific touches in the same week",yes,weekly_density,0,full_plan,"fail_review_ready_and_recompose","steady-finish long run counts as the week's specific touch"
all_supported_families,2-5,post_long_run_recovery_protection,"next running slot after long run must be recovery or easy in conservative variants",yes,spacing_rule,1,full_plan,"fail_review_ready_and_recompose","preserves recovery-first doctrine"
all_supported_families,2-5,cutback_visibility,"plans long enough to load must include visible cutback weeks",yes,phase_presence,1,full_plan,"fail_review_ready_and_extend_or_recompose","cutback cannot be hidden as a normal support week"
all_supported_families,2-5,segment_anatomy_complete,"every non-rest workout must expose numeric segment anatomy or repeat structure",yes,segment_contract,1,full_plan,"fail_review_ready_and_recompose","prevents vague cue-only workouts"
all_supported_families,2-5,no_fake_pace,"numeric pace targets require benchmark-backed pace truth and must not come from target_time alone",yes,metric_truth,0,full_plan,"fail_review_ready_and_strip_fake_metrics","watch support alone does not unlock pace"
all_supported_families,2-5,no_fake_hr,"executable HR targets require personal HR-zone truth; age-estimated HR stays advisory only",yes,metric_truth,0,full_plan,"fail_review_ready_and_strip_fake_metrics","default HR cannot present as personal target truth"
all_supported_families,2-5,structure_only_when_truth_missing,"when pace or HR truth is missing, workouts must remain executable via structure_only_executable anatomy",yes,target_mode_contract,1,full_plan,"fail_review_ready_and_recompose","missing truth does not justify vague workouts"
