family_id,family_label,runner_level,days_per_week,card_state,route_outcome,duration_min_weeks,duration_max_weeks,program_bias,moderate_touch_cap_per_week,long_run_policy,cutback_frequency,required_core_identities,optional_identities,forbidden_identities,final_outcome_rule,required_refinement_fields,notes
10k_foundation,10K Foundation,new_to_running,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
10k_foundation,10K Foundation,new_to_running,2,available,review_after_refinement,20,32,completion_oriented,1,"long_easy_day plus one development day",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","easy_run_with_strides;progression_run","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","recent_consistency;fixed_rest_days;preferred_long_run_day","must stay very conservative"
10k_foundation,10K Foundation,new_to_running,3,recommended,review_after_refinement,14,24,completion_oriented,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run","race_pace_session;10k_rhythm_intervals as early default","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day","development must stay gentle"
10k_foundation,10K Foundation,new_to_running,4,recommended,review_after_refinement,12,20,completion_oriented,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;time_intervals late","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day","no aggressive quality"
10k_foundation,10K Foundation,new_to_running,5,not_ideal,review_after_refinement,10,18,completion_oriented,1,"one long run weekly",every_3rd_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;time_intervals late","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day","days are high for this level; keep it calm"
10k_foundation,10K Foundation,beginner,1,unavailable,advanced_custom,0,0,none,0,none,none,"none","none","all","not preset-safe","running_days_per_week","1 day/week is not preset-safe"
10k_foundation,10K Foundation,beginner,2,available,review_after_refinement,18,28,completion_plus_development,1,"long_easy_day plus one development day",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_long_run","easy_run_with_strides;progression_run;controlled_tempo_session lite","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","long runway required"
10k_foundation,10K Foundation,beginner,3,recommended,review_after_refinement,12,20,completion_plus_development,1,"one long run weekly",every_3rd_week_or_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;time_intervals","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","strong safe preset zone"
10k_foundation,10K Foundation,beginner,4,recommended,review_after_refinement,10,16,completion_plus_development,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;time_intervals;10k_rhythm_intervals late","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","needs visible 10K patterning"
10k_foundation,10K Foundation,beginner,5,recommended,review_after_refinement,8,14,completion_plus_development,1,"one long run weekly",every_4th_week,"easy_aerobic_run;recovery_jog;long_aerobic_run;cutback_aerobic_run","easy_run_with_strides;progression_run;time_intervals;10k_rhythm_intervals;controlled_tempo_session","race_pace_session;half_marathon_threshold_durability;marathon_steady_specificity","explicit 10K completion or test day","fixed_rest_days;preferred_long_run_day;benchmark","richest 10K preset variant"
