contract_type,family,source_token_or_marker,applies_to_phase,days_per_week,runner_level,resolution_priority,output_behavior,canonical_output_identity,fallback_output_identity,fallback_condition,segment_anatomy_source,review_metadata_behavior,quality_gate_binding,counts_as_specific_touch,notes
weekly_slot_alias,all_supported_families,rest_or_floating,any,2-5,all,1,non_running_slot,rest_day,rest_day,no_fallback,none,none,none,no,"builder may place fixed rest or floating non-running slot here; never resolves to workout identity"
weekly_slot_alias,all_supported_families,support_easy_or_recovery,base_or_cutback,2-5,all,1,planned_workout,recovery_jog,easy_aerobic_run,unless_after_long_run_or_cutback,preset-segment-anatomy-table.csv,none,post_long_run_recovery_protection,no,"choose recovery_jog after any long-run slot or in cutback week; otherwise easy_aerobic_run"
weekly_slot_alias,all_supported_families,easy_recovery_support,completion_or_light_week,2-5,all,1,planned_workout,easy_aerobic_run,recovery_jog,if_prior_long_run_or_heavier_outcome,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"default to easy_aerobic_run unless prior slot was long or final-outcome load was larger than planned"
weekly_slot_alias,10k_foundation,support_steady_or_strides,base,3-5,all,1,planned_workout,easy_run_with_strides,easy_aerobic_run,if_strides_not_supported_this_week,preset-segment-anatomy-table.csv,none,segment_anatomy_complete,no,"10K presets should not invent steady filler here; strides are the canonical rich support mapping"
weekly_slot_alias,10k_foundation,progression_run_or_easy_run_with_strides,progression_rhythm,2-5,new_to_running_or_beginner,1,planned_workout,easy_run_with_strides,progression_run,after_two_stable_base_weeks,preset-segment-anatomy-table.csv,none,tenk_lowfreq_development_motif,yes,"choose easy_run_with_strides until at least two stable base weeks exist; then progression_run is allowed"
weekly_slot_alias,10k_foundation,progression_run_or_easy_run_with_strides,progression_rhythm,2-5,running_regularly_or_performance_focused,1,planned_workout,progression_run,easy_run_with_strides,if_conservatism_remains_high,preset-segment-anatomy-table.csv,none,tenk_lowfreq_development_motif,yes,"regular runners default to progression unless conservatism remains high"
weekly_slot_alias,10k_foundation,progression_run_or_time_intervals,progression_rhythm,3-5,all,1,planned_workout,progression_run,time_intervals,after_progression_tolerance_proven,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"time_intervals require prior progression tolerance and may not be the first development identity"
weekly_slot_alias,10k_foundation,recovery_jog_or_easy_aerobic_run,cutback_recovery,2,all,1,planned_workout,recovery_jog,easy_aerobic_run,unless_after_long_run_or_cutback,preset-segment-anatomy-table.csv,none,post_long_run_recovery_protection,no,"exact alias used by 2-day 10K cutback week; recovery_jog is primary and easy_aerobic_run is the explicit fallback"
weekly_slot_alias,10k_foundation,specific_10k_touch,progression_rhythm,4-5,beginner,1,planned_workout,progression_run,controlled_tempo_session,if_progression_already_repeated,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"beginner 10K defaults to progression before sharper rhythm"
weekly_slot_alias,10k_foundation,specific_10k_touch,progression_rhythm,4-5,running_regularly_or_performance_focused,1,planned_workout,10k_rhythm_intervals,controlled_tempo_session,after_clear_support_base,preset-segment-anatomy-table.csv,none,tenk_specificity_visibility,yes,"10K rhythm intervals are preferred only after a clear support base exists"
