family,runner_level,days_per_week,duration_min_weeks,duration_max_weeks,conservatism,phase_sequence,phase_name,phase_order,phase_min_weeks,phase_target_ratio,required,phase_goal,entry_condition,exit_marker
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,adaptation,1,3,0.2,yes,"establish repeatable rhythm and safe support anatomy","runner is new and frequency is constrained","runner completes repeated easy and long support weeks without overload pattern"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,base,2,4,0.28,yes,"build easy-volume tolerance and long-run continuity","adaptation weeks complete","long run becomes routine and recovery remains stable"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,progression_rhythm,3,3,0.18,yes,"introduce gentle development through strides or progression","base tolerance established","at least one repeating development motif appears"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,cutback_recovery,4,1,0.08,yes,"protect durability and reset fatigue","after build microcycle","volume visibly reduced and development load softened"
10k_foundation,new_to_running,2-3,14,24,high,10k_new_lowfreq,completion,5,1,0.08,yes,"deliver explicit 10K completion or checkpoint","development motif established","10K-specific endpoint is visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,base,1,3,0.22,yes,"build consistent aerobic support","runner has some history but needs runway","support rhythm is repeatable"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,aerobic_development,2,3,0.22,yes,"add longer easy volume and purposeful support variation","base established","runner tolerates stable long-run growth"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,progression_rhythm,3,3,0.18,yes,"add recurring development through progression or rhythm-lite work","aerobic support stable","10K-specific pattern becomes visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,cutback_recovery,4,1,0.08,yes,"reset fatigue and protect consistency","after development microcycle","reduced-load week is visible"
10k_foundation,beginner,2-3,12,20,moderate,10k_beginner_lowfreq,completion,5,1,0.08,yes,"show explicit 10K completion or test outcome","development motif already present","10K endpoint is explicit"
