family,runner_level,days_per_week,goal_style,goal_contract,completion_goal,performance_goal_allowed,target_time_allowed,benchmark_required,advanced_custom_route_reason,final_outcome_required
10k_foundation,new_to_running,2,relaxed,"long_runway_completion","finish 10K with controlled aerobic durability","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,new_to_running,3-5,relaxed,"completion_with_gentle_development","finish 10K with small development touches","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,new_to_running,2-5,balanced,"completion_with_gentle_development","finish 10K with safe development pattern","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,new_to_running,2-5,ambitious,"out_of_scope","not eligible for preset performance promise","no","no","not_applicable","ambitious goal style exceeds preset support for this level","advanced_custom_only"
10k_foundation,new_to_running,2-5,target_time,"out_of_scope","not eligible for pace-driven preset promise","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
10k_foundation,beginner,2,relaxed,"long_runway_completion","finish 10K with safe aerobic build","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,beginner,3-5,relaxed,"completion_plus_variety","finish 10K with strides or progression variety","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,beginner,2-5,balanced,"completion_plus_variety","finish 10K with visible development maturity","no","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,beginner,2-5,ambitious,"out_of_scope","not eligible for performance preset promise","no","no","benchmark_useful_but_not_sufficient","ambitious goal style routes to Advanced Custom","advanced_custom_only"
10k_foundation,beginner,2-5,target_time,"out_of_scope","not eligible for target-time preset promise","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
10k_foundation,running_regularly,2,relaxed,"completion_with_alternating_development","finish 10K with conservative development rotation","conservative_only","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,running_regularly,3-5,relaxed,"foundation_with_specificity","finish 10K with clear 10K rhythm readiness","conservative_only","no","no_for_plan","none","explicit 10K completion day or checkpoint"
10k_foundation,running_regularly,2-5,balanced,"foundation_with_specificity","finish 10K with controlled specific development","conservative_only","no","benchmark_optional_for_plan_required_for_pace","none","explicit 10K completion day or checkpoint"
10k_foundation,running_regularly,2-5,ambitious,"out_of_scope","preset remains conservative and not a sharpening block","conservative_only","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
10k_foundation,running_regularly,2-5,target_time,"out_of_scope","preset does not promise target-time performance","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
10k_foundation,performance_focused,2,relaxed,"conservative_base_only","maintain aerobic 10K readiness without race-peak claim","conservative_base_only","no","no_for_plan","none","explicit 10K checkpoint or completion marker"
10k_foundation,performance_focused,3-5,relaxed,"conservative_base_only","maintain 10K support with controlled development","conservative_base_only","no","benchmark_optional_for_plan_required_for_pace","none","explicit 10K checkpoint or completion marker"
10k_foundation,performance_focused,2-5,balanced,"conservative_base_only","build base under a 10K label without two-quality logic","conservative_base_only","no","benchmark_optional_for_plan_required_for_pace","none","explicit 10K checkpoint or completion marker"
10k_foundation,performance_focused,2-5,ambitious,"out_of_scope","preset cannot satisfy performance-focused ambition safely","no","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
10k_foundation,performance_focused,2-5,target_time,"out_of_scope","preset cannot satisfy target-time contract","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
half_marathon_balanced,beginner,3,balanced,"conservative_half_completion","build to credible half readiness with one moderate touch max","no","no","no_for_plan","none","clear half-readiness marker"
half_marathon_balanced,beginner,4-5,balanced,"balanced_half_readiness","build half-specific durability with threshold-lite progression","no","no","benchmark_optional_for_plan_required_for_pace","none","clear half-readiness marker"
half_marathon_balanced,beginner,3-5,relaxed,"out_of_scope","family identity is balanced rather than relaxed maintenance","no","no","not_applicable","goal style mismatch for this preset family","advanced_custom_only"
half_marathon_balanced,beginner,3-5,ambitious,"out_of_scope","preset cannot promise aggressive half improvement","no","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
half_marathon_balanced,beginner,3-5,target_time,"out_of_scope","preset cannot promise target-time half training","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
half_marathon_balanced,running_regularly,2,balanced,"long_runway_half_readiness","build a narrow but credible half-readiness path","no","no","benchmark_optional_for_plan_required_for_pace","none","clear half-readiness marker"
half_marathon_balanced,running_regularly,3-5,balanced,"balanced_half_readiness","build half-specific durability and long-run specificity","no","no","benchmark_optional_for_plan_required_for_pace","none","clear half-readiness marker"
half_marathon_balanced,running_regularly,2-5,relaxed,"out_of_scope","family identity is balanced rather than relaxed maintenance","no","no","not_applicable","goal style mismatch for this preset family","advanced_custom_only"
half_marathon_balanced,running_regularly,2-5,ambitious,"out_of_scope","preset cannot promise aggressive half performance","no","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
half_marathon_balanced,running_regularly,2-5,target_time,"out_of_scope","preset cannot promise target-time half training","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
half_marathon_balanced,performance_focused,2,balanced,"conservative_base_only","maintain half-specific durability without race-peak claim","conservative_base_only","no","benchmark_optional_for_plan_required_for_pace","none","clear half-readiness marker"
half_marathon_balanced,performance_focused,3-5,balanced,"conservative_base_only","build half-specific base under one-quality ceiling","conservative_base_only","no","benchmark_optional_for_plan_required_for_pace","none","clear half-readiness marker"
half_marathon_balanced,performance_focused,2-5,relaxed,"out_of_scope","family identity is balanced rather than relaxed maintenance","no","no","not_applicable","goal style mismatch for this preset family","advanced_custom_only"
half_marathon_balanced,performance_focused,2-5,ambitious,"out_of_scope","preset cannot satisfy aggressive half ambition safely","no","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
half_marathon_balanced,performance_focused,2-5,target_time,"out_of_scope","preset cannot promise target-time half training","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
marathon_base,beginner,3,balanced,"conservative_marathon_base","build durability base only, not race readiness","no","no","no_for_plan","none","explicit base endpoint"
marathon_base,beginner,4-5,balanced,"marathon_base_with_specificity","build durable marathon base with long-run specificity","no","no","benchmark_optional_for_plan_required_for_pace","none","explicit base endpoint"
marathon_base,beginner,3-5,relaxed,"out_of_scope","family identity is balanced base rather than relaxed maintenance","no","no","not_applicable","goal style mismatch for this preset family","advanced_custom_only"
marathon_base,beginner,3-5,ambitious,"out_of_scope","preset cannot promise aggressive marathon performance","no","no","benchmark_not_enough_for_preset_scope","ambitious goal style routes to Advanced Custom","advanced_custom_only"
marathon_base,beginner,3-5,target_time,"out_of_scope","preset cannot promise target-time marathon training","no","no","required_but_preset_still_out_of_scope","target_time presets are out of scope","advanced_custom_only"
marathon_base,running_regularly,3,balanced,"conservative_marathon_base","build narrow but coach-credible marathon durability","no","no","benchmark_optional_for_plan_required_for_pace","none","explicit base endpoint"
