family,identity,phase_name,days_per_week_min,days_per_week_max,level_min,conservatism_allowed,frequency_rule,earliest_phase_order,latest_phase_order,requires_benchmark,can_substitute_for,cannot_coexist_same_week_with,required_for_family_outcome,notes
10k_foundation,recovery_jog,base,2,5,new_to_running,all,"every week or every cutback microcycle when recovery slot exists",1,5,no,"easy_aerobic_run on lighter weeks","none",no,"core recovery identity across all viable 10K variants"
10k_foundation,easy_aerobic_run,base,2,5,new_to_running,all,"appears in most weeks as support spine",1,5,no,"recovery_jog on very conservative weeks","none",no,"must not become the only non-long identity in review-ready 10K outputs"
10k_foundation,easy_run_with_strides,progression_rhythm,2,5,new_to_running,baseline_to_high,"every 1-3 weeks once adaptation/base is stable",3,5,no,"progression_run","10k_rhythm_intervals in same week",no,"preferred first development identity when support is still limited"
10k_foundation,progression_run,progression_rhythm,2,5,beginner,baseline_to_high,"every 1-2 weeks in low-frequency plans or support weeks",3,5,no,"easy_run_with_strides;controlled_tempo_session lite","10k_rhythm_intervals in same week",yes,"minimum safe development identity for low-frequency 10K"
10k_foundation,time_intervals,progression_rhythm,3,5,beginner,baseline_to_moderate,"every 2-3 weeks only after progression is tolerated",3,4,pace_only_yes_plan_no,"progression_run","10k_rhythm_intervals;10k completion week",no,"not required for all 10K variants"
10k_foundation,10k_rhythm_intervals,progression_rhythm,4,5,running_regularly,baseline_to_moderate,"every 2-3 weeks in later build or specific block",3,4,pace_only_yes_plan_no,"progression_run;controlled_tempo_session","time_intervals;10k completion week",no,"must stay controlled and never be the only visible 10K endpoint"
10k_foundation,long_aerobic_run,base,2,5,new_to_running,all,"weekly in most non-cutback weeks",1,5,no,"cutback_long_run","10k completion week if endpoint itself is long-form event",yes,"core family spine"
10k_foundation,cutback_long_run,cutback_recovery,2,5,new_to_running,all,"every 3rd or 4th week depending conservatism",4,5,no,"shorter long_aerobic_run","10k completion week",no,"required cutback visibility"
10k_foundation,tenk_completion_or_checkpoint,completion,2,5,new_to_running,all,"once in final outcome block",5,5,no,"none","10k_rhythm_intervals;time_intervals;cutback_long_run",yes,"must materialize as a real output row or explicit review-visible endpoint"
half_marathon_balanced,recovery_jog,base,2,5,beginner,all,"weekly whenever long-run recovery protection needs it",1,7,no,"easy_aerobic_run","none",no,"post-long-run recovery protection remains mandatory"
half_marathon_balanced,steady_aerobic_run,base,3,5,beginner,all,"most weeks after base begins",2,7,no,"easy_aerobic_run on very conservative weeks","half_marathon_threshold_durability in same low-support week if long run also specific",no,"steady support is a durability tool, not fake quality"
half_marathon_balanced,progression_run,progression_tempo,2,5,beginner,baseline_to_high,"every 1-3 weeks before threshold durability is mature",3,6,no,"controlled_tempo_session","half_marathon_threshold_durability in overloaded low-frequency week",no,"safe first moderate touch"
half_marathon_balanced,controlled_tempo_session,controlled_tempo,3,5,beginner,baseline_to_moderate,"every 2-3 weeks after aerobic durability is stable",3,6,pace_only_yes_plan_no,"progression_run","half_marathon_threshold_durability in same week when long run is also specific",yes,"visible family-specific marker for 4-5 day balanced half"
half_marathon_balanced,half_marathon_threshold_durability,threshold_durability,3,5,beginner,baseline_to_moderate,"every 2-4 weeks in later build or specific block",4,6,pace_only_yes_plan_no,"controlled_tempo_session","long_run_with_steady_finish in same week for conservative variants",yes,"must appear in stronger half variants"
half_marathon_balanced,long_run_with_steady_finish,half_specificity,2,5,beginner,baseline_to_moderate,"every 2-4 weeks once long-run durability is stable",4,7,no,"long_aerobic_run","half_marathon_threshold_durability in same conservative week",yes,"counts as the week's specific touch when used"
half_marathon_balanced,half_readiness_marker,completion,2,5,beginner,all,"once in final outcome block",7,7,no,"none","threshold_durability plus long_run_with_steady_finish overload stack",yes,"must materialize as review-visible readiness endpoint"
marathon_base,recovery_jog,base,3,5,beginner,all,"weekly whenever long-run recovery protection needs it",1,6,no,"easy_aerobic_run","none",no,"especially important in 3-day marathon variants"
marathon_base,steady_aerobic_run,aerobic_development,3,5,beginner,all,"most weeks after base begins",2,6,no,"easy_aerobic_run","marathon_steady_specificity if long run is also specific for conservative weeks",no,"durability support identity"
marathon_base,marathon_steady_specificity,marathon_specificity,3,5,beginner,baseline_to_high,"every 2-3 weeks once base is established",3,5,pace_only_yes_plan_no,"steady_aerobic_run","long_run_with_steady_finish in same conservative week",yes,"required visible marathon-specific identity"
marathon_base,long_aerobic_run,base,3,5,beginner,all,"weekly outside cutback and specific-long weeks",1,6,no,"cutback_long_run","base_endpoint_long if endpoint week uses different long expression",yes,"core family spine"
marathon_base,cutback_long_run,cutback_recovery,3,5,beginner,all,"every 3rd or 4th week depending conservatism",4,5,no,"shorter long_aerobic_run","base_endpoint_long if endpoint already unloads",no,"must keep marathon base from becoming grind-only"
marathon_base,long_run_with_steady_finish,long_run_specificity,3,5,beginner,baseline_to_moderate,"every 2-4 weeks after marathon_steady_specificity is tolerated",5,6,no,"long_aerobic_run","marathon_steady_specificity in same conservative week",yes,"counts as the week's specificity when used"
marathon_base,base_endpoint_marker,base_endpoint,3,5,beginner,all,"once in final outcome block",6,6,no,"none","race_pace_or_taper_peak_patterns",yes,"must confirm durable base rather than race readiness"
