age_band,anthropometric_load_context,progression_conservatism,duration_extension_weeks_min,duration_extension_weeks_max,cutback_frequency,long_run_ramp_policy,moderate_touch_cap_per_week,delay_sharp_work,runner_facing_rationale
under_30,lower_impact_load_context,baseline,0,0,every_4th_week,standard,1,no,"Standard progression with normal recovery spacing."
under_30,standard_impact_load_context,baseline,0,0,every_4th_week,standard,1,no,"Standard progression with normal recovery spacing."
under_30,elevated_impact_load_context,moderate,2,4,every_3rd_or_4th_week,gentle,1,yes,"Longer runway and gentler progression to keep the build repeatable."
under_30,high_impact_load_context,high,4,8,every_3rd_week,very_gentle,1,yes,"Longer runway, smaller long-run jumps, and more recovery spacing."
30_39,lower_impact_load_context,baseline,0,0,every_4th_week,standard,1,no,"Standard progression with normal recovery spacing."
30_39,standard_impact_load_context,baseline,0,2,every_4th_week,standard,1,no,"Mostly standard progression with a little extra flexibility if needed."
30_39,elevated_impact_load_context,moderate,2,4,every_3rd_or_4th_week,gentle,1,yes,"A steadier build is favored over a quicker ramp."
30_39,high_impact_load_context,high,4,8,every_3rd_week,very_gentle,1,yes,"Progression stays conservative and the plan gets a longer runway."
40_49,lower_impact_load_context,moderate,0,2,every_3rd_or_4th_week,standard,1,yes,"A steadier progression and cleaner recovery spacing are preferred."
40_49,standard_impact_load_context,moderate,2,4,every_3rd_or_4th_week,gentle,1,yes,"The build stays gradual with more emphasis on repeatability."
40_49,elevated_impact_load_context,high,4,6,every_3rd_week,gentle,1,yes,"The plan extends and moderates progression before sharper work."
40_49,high_impact_load_context,maximum_preset,6,10,every_3rd_week,very_gentle,1,yes,"The plan uses a longer runway, slower long-run growth, and lower intensity density."
50_59,lower_impact_load_context,moderate,2,4,every_3rd_week,gentle,1,yes,"The build favors steadiness and cleaner recovery instead of speed of progression."
50_59,standard_impact_load_context,high,2,6,every_3rd_week,gentle,1,yes,"The plan adds recovery spacing and delays sharper work."
50_59,elevated_impact_load_context,high,4,8,every_3rd_week,very_gentle,1,yes,"The plan uses a slower progression and more cutbacks to stay sustainable."
50_59,high_impact_load_context,maximum_preset,6,12,every_2nd_or_3rd_week,very_gentle,1,yes,"The plan uses maximum preset conservatism with a longer runway and lower density."
60_plus,lower_impact_load_context,high,4,6,every_3rd_week,gentle,1,yes,"The build stays gradual and recovery spacing remains generous."
60_plus,standard_impact_load_context,high,4,8,every_3rd_week,very_gentle,1,yes,"The plan extends and keeps the progression deliberately gradual."
60_plus,elevated_impact_load_context,maximum_preset,6,10,every_2nd_or_3rd_week,very_gentle,1,yes,"The plan prioritizes sustainability, smaller long-run jumps, and longer recovery rhythm."
60_plus,high_impact_load_context,maximum_preset,8,12,every_2nd_or_3rd_week,very_gentle,1,yes,"The plan applies the strongest preset-safe conservatism and may still route to custom if the fit remains weak."
